drug_id	protein_id	protein_moniker	reference
HMSL10346	Q19QZ0	Q19QZ0_HUMAN	kegg
HMSL10346	Q19QZ1	Q19QZ1_HUMAN	kegg
HMSL10346	Q19QZ2	Q19QZ2_HUMAN	kegg
HMSL10346	Q19QZ3	Q19QZ3_HUMAN	kegg
HMSL10346	Q19QZ4	Q19QZ4_HUMAN	kegg
HMSL10346	Q19QZ5	Q19QZ5_HUMAN	kegg
HMSL10346	Q19QZ6	Q19QZ6_HUMAN	kegg
HMSL10346	Q19QZ7	Q19QZ7_HUMAN	kegg
HMSL10346	Q19QZ8	Q19QZ8_HUMAN	kegg
HMSL10346	Q19QZ9	Q19QZ9_HUMAN	kegg
HMSL10346	Q19R00	Q19R00_HUMAN	kegg
HMSL10346	Q19R02	Q19R02_HUMAN	kegg
HMSL10346	Q19R03	Q19R03_HUMAN	kegg
HMSL10346	Q19R04	Q19R04_HUMAN	kegg
HMSL10346	Q19R06	Q19R06_HUMAN	kegg
HMSL10346	Q19R07	Q19R07_HUMAN	kegg
HMSL10346	Q19R08	Q19R08_HUMAN	kegg
HMSL10346	Q19R10	Q19R10_HUMAN	kegg
HMSL10346	Q19R11	Q19R11_HUMAN	kegg
HMSL10346	Q19R12	Q19R12_HUMAN	kegg
HMSL10346	Q19R13	Q19R13_HUMAN	kegg
HMSL10346	Q19R17	Q19R17_HUMAN	kegg
HMSL10346	Q2TAC4	Q2TAC4_HUMAN	kegg
HMSL10346	Q9Y6F7	CDY2_HUMAN	kegg
HMSL10346	Q13547	HDAC1_HUMAN	kegg
HMSL10346	Q6IT96	Q6IT96_HUMAN	kegg
HMSL10346	Q969S8	HDA10_HUMAN	kegg
HMSL10347			
HMSL10348			
